,Major,Degree Type,Early Career Pay,Mid Career Pay,High Meaning
100,Manufacturing Engineering,Bachelors,"$69,300","$110,000",47%
101,Atmospheric Science,Bachelors,"$48,700","$109,900",55%
102,Cybersecurity,Bachelors,"$65,600","$109,800",55%
103,Information Security & Assurance,Bachelors,"$61,400","$109,300",47%
104,Medicine,Bachelors,"$60,600","$109,200",92%
105,Civil Engineering (CE),Bachelors,"$65,000","$109,000",65%
106,Environmental Health & Safety Management,Bachelors,"$61,100","$108,800",61%
107,Mathematics,Bachelors,"$63,500","$108,700",45%
108,Applied Economics,Bachelors,"$61,400","$108,600",38%
109,Construction Science,Bachelors,"$67,400","$108,500",63%
110,Political Communication,Bachelors,"$48,800","$108,500",55%
111,Marketing & International Business,Bachelors,"$52,500","$108,400",34%
112,Software Development,Bachelors,"$65,500","$108,400",45%
113,Biochemistry & Molecular Biology,Bachelors,"$53,900","$108,100",71%
114,Computing,Bachelors,"$63,500","$108,000",53%
115,Construction Management,Bachelors,"$63,200","$108,000",58%
116,Accounting & Taxation,Bachelors,"$55,600","$107,800",41%
117,Building Construction (BC),Bachelors,"$67,200","$107,800",52%
118,International & Comparative Politics,Bachelors,"$45,700","$107,800",53%
119,Civil & Environmental Engineering,Bachelors,"$65,300","$107,500",67%
120,Business Information Systems,Bachelors,"$65,000","$107,400",43%
121,Financial Economics,Bachelors,"$63,300","$107,200",41%
122,Sales & Business Marketing,Bachelors,"$55,900","$107,200",51%
123,Plastics Engineering,Bachelors,"$68,400","$107,100",58%
124,Information Technology Management,Bachelors,"$63,400","$107,000",48%
125,Polymer Science & Engineering,Bachelors,"$74,500","$106,900",-
126,Informatics,Bachelors,"$70,300","$106,800",42%
127,Computer Management Information Systems (CMIS),Bachelors,"$55,700","$106,600",47%
128,Information Systems (IS),Bachelors,"$63,900","$106,600",44%
129,Agricultural Economics,Bachelors,"$55,600","$106,300",58%
130,Data Processing,Bachelors,"$65,600","$106,200",45%
131,European Studies,Bachelors,"$47,500","$106,100",46%
132,Biosystems Engineering,Bachelors,"$64,700","$106,000",74%
133,Nuclear Engineering Technology (NET),Bachelors,"$83,500","$106,000",62%
134,Economics & Political Science,Bachelors,"$57,100","$105,700",47%
135,Global & International Studies,Bachelors,"$50,000","$105,700",46%
136,Organic Chemistry,Bachelors,"$44,500","$105,600",-
137,Industrial Hygiene,Bachelors,"$58,600","$105,500",55%
138,Safety Science,Bachelors,"$62,400","$105,500",-
139,Commerce,Bachelors,"$66,800","$105,400",40%
140,Rhetoric,Bachelors,"$51,600","$105,400",44%
141,Business Computer Information Systems (BCIS),Bachelors,"$64,000","$105,300",40%
142,Finance,Bachelors,"$60,200","$105,200",42%
143,Plastics Engineering Technology,Bachelors,"$66,900","$105,100",28%
144,Molecular Biology,Bachelors,"$54,100","$105,000",67%
